,State/UnionTerrirory,TrendLineCoeff
0,Andhra Pradesh,3197.840106513591
1,Himachal Pradesh,62.51780109354219
2,Odisha,910.8437644781686
3,Madhya Pradesh,569.4254869218264
4,Nagaland,49.7581645366128
5,Manipur,53.222709455599805
6,Delhi,1325.1704913136825
7,Mizoram,9.451723282760268
8,Gujarat,722.8547398596925
9,Maharashtra,6214.9634550381115
10,Andaman and Nicobar Islands,21.996935189538533
11,Jammu and Kashmir,318.6697380544952
12,Kerala,519.180769862391
13,Meghalaya,29.601244784543212
14,Goa,159.73600634318552
15,West Bengal,1260.4364934872185
16,Ladakh,19.86935448815475
17,Uttarakhand,194.11093748308812
18,Haryana,532.5229902198972
19,Karnataka,2606.355923763352
20,Puducherry,119.04308330565198
21,Assam,962.5298604276834
22,Rajasthan,585.8264192763376
23,Uttar Pradesh,1685.3680578037824
24,Jharkhand,404.1532706110827
25,Arunachal Pradesh,45.329354694811514
26,Chhattisgarh,409.28288830042095
27,Tamil Nadu,2974.2916032746507
28,Tripura,132.43216659282234
29,Dadar Nagar Haveli,0.5078236130867707
30,Daman & Diu,31.40836063238855
31,Sikkim,24.015905314839358
32,Bihar,997.2359663991601
33,Telangana,879.9736080197
34,Chandigarh,46.556655984346634
35,Punjab,449.965723808554
